,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh,sot,dist,fk,pk,pkatt,sota,saves,pka,pksv,cmp,att,totdist,prgdist,live,dead,tb,sw,crs,ti,ck,season,team
25,2023-01-24,20:30,Matchweek 17,Tue,Home,D,1,1,Köln,1.4,0.8,77.0,75000.0,Joshua Kimmich,4-2-3-1,Tobias Stieler,25.0,7.0,17.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,803.0,914.0,14475.0,4407.0,865.0,47.0,0.0,7.0,33.0,22.0,9.0,2022-2023,Bayern Munich
26,2023-01-28,18:30,Matchweek 18,Sat,Home,D,1,1,Eint Frankfurt,1.6,0.6,67.0,75000.0,Thomas Müller,4-1-4-1,Sven Jablonski,14.0,5.0,17.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,686.0,784.0,12814.0,3757.0,739.0,42.0,1.0,0.0,17.0,22.0,7.0,2022-2023,Bayern Munich
28,2023-02-05,17:30,Matchweek 19,Sun,Away,W,4,2,Wolfsburg,0.5,2.2,48.0,30000.0,Thomas Müller,4-2-3-1,Harm Osmers,9.0,4.0,19.6,0.0,0.0,0.0,5.0,3.0,0.0,0.0,442.0,535.0,7307.0,2882.0,486.0,46.0,1.0,5.0,11.0,16.0,4.0,2022-2023,Bayern Munich
29,2023-02-11,15:30,Matchweek 20,Sat,Home,W,3,0,Bochum,3.7,0.3,64.0,75000.0,Thomas Müller,3-1-4-2,Matthias Jöllenbeck,22.0,11.0,16.7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,528.0,636.0,9485.0,3478.0,592.0,44.0,1.0,5.0,18.0,18.0,6.0,2022-2023,Bayern Munich
31,2023-02-18,15:30,Matchweek 21,Sat,Away,L,2,3,M'Gladbach,1.1,2.4,47.0,54042.0,Thomas Müller,3-1-4-2,Tobias Welz,13.0,5.0,18.4,0.0,0.0,0.0,7.0,4.0,0.0,0.0,451.0,542.0,7791.0,2739.0,497.0,41.0,2.0,2.0,9.0,20.0,0.0,2022-2023,Bayern Munich
32,2023-02-26,17:30,Matchweek 22,Sun,Home,W,3,0,Union Berlin,3.6,0.4,69.0,75000.0,Thomas Müller,4-2-3-1,Marco Fritz,20.0,9.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,799.0,10497.0,3287.0,761.0,35.0,8.0,0.0,26.0,10.0,10.0,2022-2023,Bayern Munich
33,2023-03-04,18:30,Matchweek 23,Sat,Away,W,2,1,Stuttgart,2.1,0.8,60.0,47800.0,Thomas Müller,4-2-3-1,Christian Dingert,14.0,6.0,14.9,0.0,0.0,0.0,3.0,2.0,0.0,0.0,604.0,698.0,10845.0,3525.0,658.0,39.0,0.0,5.0,22.0,18.0,6.0,2022-2023,Bayern Munich
35,2023-03-11,15:30,Matchweek 24,Sat,Home,W,5,3,Augsburg,2.4,2.5,65.0,75000.0,Joshua Kimmich,3-4-3,Florian Badstübner,23.0,8.0,16.1,1.0,0.0,0.0,6.0,3.0,1.0,0.0,533.0,620.0,8816.0,3268.0,572.0,46.0,0.0,4.0,16.0,17.0,8.0,2022-2023,Bayern Munich
36,2023-03-19,17:30,Matchweek 25,Sun,Away,L,1,2,Leverkusen,1.0,2.0,60.0,30210.0,Thomas Müller,3-1-4-2,Tobias Stieler,11.0,6.0,15.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,542.0,643.0,9985.0,3280.0,595.0,47.0,1.0,3.0,14.0,23.0,3.0,2022-2023,Bayern Munich
37,2023-04-01,18:30,Matchweek 26,Sat,Home,W,4,2,Dortmund,2.4,1.5,48.0,75000.0,Thomas Müller,4-2-3-1,Marco Fritz,16.0,9.0,16.5,0.0,0.0,0.0,4.0,2.0,1.0,0.0,480.0,568.0,8714.0,3159.0,533.0,30.0,6.0,8.0,12.0,9.0,6.0,2022-2023,Bayern Munich
