,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh,sot,dist,fk,pk,pkatt,sota,saves,pka,pksv,cmp,att,totdist,prgdist,live,dead,tb,sw,crs,ti,ck,season,team
4,2021-09-11,15:30,Matchweek 4,Sat,Home,L,0,2,Mainz 05,0.7,0.9,64.0,8427.0,Oliver Baumann,4-2-3-1,Marco Fritz,9.0,0.0,14.7,1.0,0.0,0.0,5.0,3.0,0.0,0.0,462.0,590.0,9482.0,3525.0,533.0,55.0,0.0,10.0,28.0,24.0,4.0,2021-2022,Hoffenheim
5,2021-09-18,15:30,Matchweek 5,Sat,Away,D,0,0,Arminia,1.1,1.1,58.0,13750.0,Oliver Baumann,4-2-3-1,Patrick Ittrich,16.0,3.0,15.4,0.0,0.0,0.0,2.0,2.0,0.0,0.0,486.0,597.0,9652.0,3590.0,540.0,56.0,1.0,6.0,27.0,23.0,6.0,2021-2022,Hoffenheim
6,2021-09-25,15:30,Matchweek 6,Sat,Home,W,3,1,Wolfsburg,1.5,0.6,50.0,8523.0,Oliver Baumann,4-2-2-2,Daniel Siebert,11.0,3.0,14.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0,366.0,464.0,6535.0,2486.0,418.0,46.0,0.0,0.0,26.0,20.0,5.0,2021-2022,Hoffenheim
7,2021-10-02,15:30,Matchweek 7,Sat,Away,L,1,3,Stuttgart,1.0,0.8,59.0,24211.0,Oliver Baumann,4-3-3,Harm Osmers,13.0,4.0,17.2,0.0,0.0,0.0,6.0,3.0,0.0,0.0,478.0,585.0,8517.0,2955.0,521.0,63.0,1.0,2.0,26.0,31.0,4.0,2021-2022,Hoffenheim
8,2021-10-15,20:30,Matchweek 8,Fri,Home,W,5,0,Köln,3.7,0.7,51.0,14309.0,Oliver Baumann,3-4-1-2,Tobias Reichel,14.0,8.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,471.0,6447.0,2527.0,420.0,49.0,2.0,7.0,12.0,22.0,3.0,2021-2022,Hoffenheim
9,2021-10-23,15:30,Matchweek 9,Sat,Away,L,0,4,Bayern Munich,0.7,2.8,39.0,60000.0,Oliver Baumann,3-4-3,Matthias Jöllenbeck,9.0,2.0,14.5,0.0,0.0,0.0,7.0,3.0,0.0,0.0,332.0,441.0,5927.0,2373.0,401.0,37.0,0.0,4.0,13.0,14.0,2.0,2021-2022,Hoffenheim
11,2021-10-29,20:30,Matchweek 10,Fri,Home,W,2,0,Hertha BSC,0.9,0.3,54.0,8127.0,Oliver Baumann,3-4-1-2,Sven Jablonski,13.0,3.0,14.6,0.0,0.0,0.0,2.0,2.0,0.0,0.0,473.0,579.0,8462.0,2761.0,528.0,48.0,0.0,3.0,26.0,24.0,9.0,2021-2022,Hoffenheim
12,2021-11-06,15:30,Matchweek 11,Sat,Away,L,0,2,Bochum,0.6,2.9,62.0,19600.0,Oliver Baumann,3-1-4-2,Frank Willenborg,10.0,1.0,22.8,0.0,0.0,0.0,4.0,2.0,0.0,0.0,472.0,606.0,8217.0,3470.0,550.0,55.0,1.0,2.0,22.0,31.0,4.0,2021-2022,Hoffenheim
13,2021-11-20,15:30,Matchweek 12,Sat,Home,W,2,0,RB Leipzig,3.1,0.2,42.0,13233.0,Oliver Baumann,3-4-3,Tobias Welz,23.0,8.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,421.0,5476.0,2631.0,353.0,64.0,2.0,0.0,19.0,29.0,7.0,2021-2022,Hoffenheim
14,2021-11-27,15:30,Matchweek 13,Sat,Away,W,6,3,Greuther Fürth,4.0,1.1,51.0,3385.0,Florian Grillitsch,4-3-3,Bastian Dankert,21.0,11.0,12.4,0.0,0.0,0.0,7.0,4.0,0.0,0.0,350.0,450.0,6871.0,2794.0,384.0,65.0,3.0,1.0,16.0,22.0,10.0,2021-2022,Hoffenheim
15,2021-12-04,15:30,Matchweek 14,Sat,Home,W,3,2,Eint Frankfurt,0.9,1.5,49.0,,Oliver Baumann,3-4-3,Daniel Schlager,8.0,4.0,16.9,0.0,0.0,0.0,3.0,1.0,0.0,0.0,412.0,543.0,6674.0,2458.0,487.0,56.0,1.0,0.0,16.0,29.0,4.0,2021-2022,Hoffenheim
16,2021-12-11,15:30,Matchweek 15,Sat,Away,W,2,1,Freiburg,1.0,1.6,57.0,750.0,Oliver Baumann,3-4-3,Frank Willenborg,13.0,5.0,20.7,2.0,0.0,0.0,6.0,4.0,0.0,1.0,426.0,552.0,7069.0,2553.0,502.0,50.0,0.0,3.0,23.0,22.0,7.0,2021-2022,Hoffenheim
17,2021-12-15,20:30,Matchweek 16,Wed,Away,D,2,2,Leverkusen,2.0,2.2,54.0,13272.0,Oliver Baumann,3-4-1-2,Tobias Stieler,18.0,6.0,13.5,0.0,0.0,0.0,9.0,7.0,0.0,0.0,442.0,559.0,7400.0,2600.0,507.0,49.0,0.0,1.0,24.0,21.0,3.0,2021-2022,Hoffenheim
18,2021-12-18,15:30,Matchweek 17,Sat,Home,D,1,1,M'Gladbach,2.1,1.3,60.0,750.0,Oliver Baumann,3-4-3,Sven Jablonski,22.0,7.0,14.8,1.0,0.0,0.0,5.0,4.0,0.0,0.0,501.0,621.0,9164.0,3302.0,557.0,58.0,1.0,6.0,38.0,27.0,15.0,2021-2022,Hoffenheim
19,2022-01-08,15:30,Matchweek 18,Sat,Home,W,3,1,Augsburg,2.2,0.9,58.0,500.0,Oliver Baumann,3-1-4-2,Benjamin Cortus,13.0,5.0,13.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,481.0,601.0,9411.0,3781.0,553.0,46.0,1.0,2.0,21.0,26.0,2.0,2021-2022,Hoffenheim
20,2022-01-15,15:30,Matchweek 19,Sat,Away,L,1,2,Union Berlin,0.8,1.3,58.0,3000.0,Oliver Baumann,3-1-4-2,Martin Petersen,11.0,4.0,17.3,1.0,0.0,0.0,4.0,2.0,0.0,0.0,489.0,614.0,8663.0,3107.0,551.0,63.0,1.0,4.0,26.0,35.0,8.0,2021-2022,Hoffenheim
22,2022-01-22,15:30,Matchweek 20,Sat,Home,L,2,3,Dortmund,1.7,1.6,58.0,500.0,Benjamin Hübner,3-4-1-2,Deniz Aytekin,16.0,3.0,16.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,558.0,663.0,9850.0,3589.0,616.0,42.0,2.0,3.0,26.0,17.0,7.0,2021-2022,Hoffenheim
23,2022-02-05,15:30,Matchweek 21,Sat,Away,L,0,2,Mainz 05,1.6,2.2,59.0,6800.0,Benjamin Hübner,3-4-3,Christian Dingert,16.0,3.0,13.5,0.0,0.0,0.0,4.0,2.0,1.0,0.0,481.0,590.0,8015.0,2658.0,534.0,53.0,0.0,1.0,17.0,27.0,3.0,2021-2022,Hoffenheim
24,2022-02-13,17:30,Matchweek 22,Sun,Home,W,2,0,Arminia,2.8,0.9,53.0,10000.0,Benjamin Hübner,3-5-2,Robert Hartmann,24.0,8.0,11.7,0.0,0.0,0.0,3.0,3.0,0.0,0.0,431.0,534.0,8312.0,3332.0,480.0,52.0,4.0,0.0,26.0,16.0,13.0,2021-2022,Hoffenheim
25,2022-02-19,15:30,Matchweek 23,Sat,Away,W,2,1,Wolfsburg,1.5,1.5,45.0,7145.0,Kevin Vogt,3-5-1-1,Felix Zwayer,11.0,4.0,14.6,0.0,0.0,0.0,6.0,5.0,0.0,0.0,377.0,488.0,6303.0,2458.0,446.0,40.0,0.0,1.0,14.0,19.0,2.0,2021-2022,Hoffenheim
26,2022-02-25,20:30,Matchweek 24,Fri,Home,W,2,1,Stuttgart,2.6,1.7,55.0,18099.0,Benjamin Hübner,3-4-3,Matthias Jöllenbeck,16.0,6.0,12.4,0.0,0.0,0.0,4.0,3.0,0.0,0.0,376.0,495.0,6745.0,2682.0,433.0,60.0,0.0,1.0,35.0,26.0,9.0,2021-2022,Hoffenheim
27,2022-03-06,17:30,Matchweek 25,Sun,Away,W,1,0,Köln,2.5,1.6,44.0,37500.0,Oliver Baumann,3-5-2,Marco Fritz,13.0,3.0,15.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,370.0,473.0,6528.0,2896.0,426.0,45.0,1.0,3.0,7.0,20.0,1.0,2021-2022,Hoffenheim
28,2022-03-12,15:30,Matchweek 26,Sat,Home,D,1,1,Bayern Munich,1.7,2.9,38.0,25600.0,Oliver Baumann,5-4-1,Robert Schröder,9.0,6.0,13.2,0.0,0.0,0.0,7.0,6.0,0.0,0.0,315.0,410.0,5885.0,2700.0,362.0,46.0,0.0,2.0,15.0,13.0,3.0,2021-2022,Hoffenheim
29,2022-03-19,15:30,Matchweek 27,Sat,Away,L,0,3,Hertha BSC,0.8,1.3,68.0,25000.0,Oliver Baumann,3-5-2,Daniel Schlager,8.0,0.0,16.1,1.0,0.0,0.0,6.0,3.0,0.0,0.0,483.0,586.0,8425.0,2751.0,530.0,55.0,0.0,3.0,24.0,25.0,6.0,2021-2022,Hoffenheim
30,2022-04-02,15:30,Matchweek 28,Sat,Home,L,1,2,Bochum,2.0,2.1,58.0,15014.0,Oliver Baumann,3-4-1-2,Daniel Siebert,13.0,6.0,16.2,1.0,0.0,0.0,6.0,4.0,0.0,0.0,450.0,559.0,8573.0,3468.0,513.0,45.0,0.0,1.0,17.0,20.0,5.0,2021-2022,Hoffenheim
31,2022-04-10,19:30,Matchweek 29,Sun,Away,L,0,3,RB Leipzig,0.2,1.5,49.0,35112.0,Oliver Baumann,3-4-1-2,Bastian Dankert,3.0,0.0,18.5,0.0,0.0,0.0,4.0,1.0,0.0,0.0,422.0,542.0,6801.0,2170.0,486.0,51.0,3.0,3.0,10.0,28.0,1.0,2021-2022,Hoffenheim
32,2022-04-17,17:30,Matchweek 30,Sun,Home,D,0,0,Greuther Fürth,1.0,0.3,58.0,16110.0,Oliver Baumann,3-1-4-2,Felix Zwayer,16.0,3.0,17.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,433.0,555.0,8645.0,3404.0,494.0,60.0,2.0,3.0,30.0,24.0,10.0,2021-2022,Hoffenheim
33,2022-04-23,15:30,Matchweek 31,Sat,Away,D,2,2,Eint Frankfurt,0.7,1.3,50.0,50500.0,Oliver Baumann,3-4-3,Sven Jablonski,10.0,4.0,18.6,0.0,0.0,0.0,7.0,5.0,0.0,0.0,400.0,511.0,6973.0,2912.0,458.0,50.0,0.0,4.0,20.0,20.0,7.0,2021-2022,Hoffenheim
34,2022-04-30,18:30,Matchweek 32,Sat,Home,L,3,4,Freiburg,2.0,2.4,58.0,23627.0,Andrej Kramarić,4-3-3,Marco Fritz,19.0,7.0,14.5,0.0,0.0,0.0,5.0,1.0,0.0,0.0,422.0,552.0,7138.0,2888.0,494.0,55.0,1.0,2.0,25.0,32.0,4.0,2021-2022,Hoffenheim
35,2022-05-07,15:30,Matchweek 33,Sat,Home,L,2,4,Leverkusen,2.5,4.0,47.0,20033.0,Andrej Kramarić,4-1-2-1-2◆,Frank Willenborg,12.0,5.0,16.7,0.0,0.0,0.0,8.0,4.0,0.0,0.0,333.0,448.0,5846.0,2356.0,394.0,51.0,2.0,2.0,16.0,21.0,6.0,2021-2022,Hoffenheim
36,2022-05-14,15:30,Matchweek 34,Sat,Away,L,1,5,M'Gladbach,1.6,3.2,45.0,50395.0,Andrej Kramarić,3-1-4-2,Harm Osmers,10.0,2.0,17.0,1.0,0.0,0.0,9.0,4.0,1.0,0.0,424.0,500.0,7296.0,2536.0,463.0,37.0,0.0,1.0,14.0,15.0,2.0,2021-2022,Hoffenheim
1,2021-08-13,20:30,Matchweek 1,Fri,Home,D,1,1,Bayern Munich,2.3,2.5,35.0,22925.0,Lars Stindl,4-2-3-1,Marco Fritz,11.0,4.0,15.8,0.0,0.0,0.0,9.0,8.0,0.0,0.0,262.0,370.0,4590.0,2205.0,326.0,41.0,3.0,4.0,12.0,19.0,3.0,2021-2022,Monchengladbach
2,2021-08-21,18:30,Matchweek 2,Sat,Away,L,0,4,Leverkusen,1.7,1.9,53.0,15105.0,Lars Stindl,4-2-3-1,Deniz Aytekin,10.0,5.0,18.5,0.0,0.0,1.0,6.0,2.0,0.0,0.0,437.0,520.0,8092.0,2927.0,465.0,53.0,0.0,6.0,11.0,26.0,3.0,2021-2022,Monchengladbach
3,2021-08-29,15:30,Matchweek 3,Sun,Away,L,1,2,Union Berlin,1.8,1.9,72.0,11006.0,Lars Stindl,4-2-3-1,Felix Brych,20.0,5.0,17.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,668.0,791.0,11901.0,3996.0,729.0,59.0,5.0,4.0,14.0,24.0,8.0,2021-2022,Monchengladbach
4,2021-09-12,19:30,Matchweek 4,Sun,Home,W,3,1,Arminia,1.7,1.8,64.0,24500.0,Lars Stindl,3-4-3,Sascha Stegemann,18.0,4.0,17.9,0.0,0.0,0.0,7.0,6.0,0.0,0.0,559.0,643.0,9811.0,3326.0,596.0,45.0,1.0,1.0,11.0,12.0,3.0,2021-2022,Monchengladbach
5,2021-09-18,15:30,Matchweek 5,Sat,Away,L,0,1,Augsburg,0.6,0.3,70.0,12500.0,Lars Stindl,4-2-3-1,Florian Badstübner,11.0,0.0,18.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,535.0,638.0,10158.0,3410.0,583.0,53.0,2.0,0.0,23.0,24.0,6.0,2021-2022,Monchengladbach
6,2021-09-25,18:30,Matchweek 6,Sat,Home,W,1,0,Dortmund,1.6,0.4,55.0,25000.0,Lars Stindl,3-4-3,Deniz Aytekin,15.0,3.0,15.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,582.0,8749.0,3207.0,526.0,52.0,2.0,1.0,15.0,23.0,5.0,2021-2022,Monchengladbach
7,2021-10-02,15:30,Matchweek 7,Sat,Away,W,3,1,Wolfsburg,3.3,1.3,48.0,12845.0,Lars Stindl,3-5-2,Frank Willenborg,18.0,9.0,17.5,1.0,0.0,1.0,5.0,4.0,0.0,0.0,318.0,424.0,6123.0,2469.0,370.0,51.0,3.0,1.0,13.0,17.0,6.0,2021-2022,Monchengladbach
8,2021-10-16,18:30,Matchweek 8,Sat,Home,D,1,1,Stuttgart,2.6,0.3,59.0,41608.0,Lars Stindl,3-4-3,Felix Brych,31.0,8.0,17.9,1.0,0.0,0.0,2.0,1.0,0.0,0.0,552.0,660.0,8423.0,3128.0,603.0,57.0,4.0,1.0,19.0,21.0,9.0,2021-2022,Monchengladbach
9,2021-10-23,18:30,Matchweek 9,Sat,Away,L,0,1,Hertha BSC,0.5,1.0,58.0,25000.0,Lars Stindl,3-4-1-2,Benjamin Cortus,10.0,1.0,16.9,0.0,0.0,0.0,4.0,3.0,0.0,0.0,464.0,580.0,8513.0,2993.0,515.0,62.0,1.0,3.0,17.0,37.0,6.0,2021-2022,Monchengladbach
11,2021-10-31,17:30,Matchweek 10,Sun,Home,W,2,1,Bochum,1.9,0.8,65.0,42361.0,Yann Sommer,4-2-3-1,Tobias Reichel,15.0,4.0,15.6,0.0,0.0,0.0,4.0,3.0,0.0,0.0,563.0,675.0,9857.0,3827.0,608.0,65.0,7.0,6.0,19.0,30.0,9.0,2021-2022,Monchengladbach
12,2021-11-05,20:30,Matchweek 11,Fri,Away,D,1,1,Mainz 05,1.6,1.1,52.0,25000.0,Yann Sommer,3-4-3,Robert Schröder,12.0,5.0,19.1,0.0,0.0,0.0,8.0,7.0,0.0,0.0,408.0,518.0,7417.0,2640.0,472.0,45.0,0.0,8.0,6.0,14.0,1.0,2021-2022,Monchengladbach
13,2021-11-20,15:30,Matchweek 12,Sat,Home,W,4,0,Greuther Fürth,3.1,0.2,57.0,38621.0,Lars Stindl,3-4-3,Benjamin Brand,18.0,11.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,430.0,533.0,7434.0,2786.0,475.0,56.0,3.0,1.0,12.0,30.0,7.0,2021-2022,Monchengladbach
14,2021-11-27,15:30,Matchweek 13,Sat,Away,L,1,4,Köln,1.0,1.4,51.0,50000.0,Lars Stindl,3-4-3,Robert Schröder,16.0,5.0,18.7,1.0,0.0,0.0,9.0,5.0,0.0,0.0,348.0,455.0,6204.0,2786.0,393.0,57.0,2.0,0.0,13.0,24.0,4.0,2021-2022,Monchengladbach
15,2021-12-05,17:30,Matchweek 14,Sun,Home,L,0,6,Freiburg,0.9,2.0,64.0,10025.0,Yann Sommer,3-4-1-2,Robert Hartmann,17.0,3.0,18.6,0.0,0.0,0.0,7.0,1.0,0.0,0.0,488.0,590.0,7858.0,2699.0,529.0,59.0,1.0,1.0,11.0,26.0,3.0,2021-2022,Monchengladbach
16,2021-12-11,15:30,Matchweek 15,Sat,Away,L,1,4,RB Leipzig,1.2,4.7,47.0,,Lars Stindl,4-3-3,Bastian Dankert,11.0,5.0,15.1,0.0,0.0,0.0,10.0,6.0,0.0,0.0,375.0,460.0,6163.0,2414.0,408.0,47.0,0.0,5.0,7.0,16.0,0.0,2021-2022,Monchengladbach
17,2021-12-15,18:30,Matchweek 16,Wed,Home,L,2,3,Eint Frankfurt,2.0,2.3,57.0,10028.0,Yann Sommer,3-4-3,Martin Petersen,17.0,7.0,18.7,0.0,1.0,1.0,4.0,1.0,0.0,0.0,431.0,537.0,7638.0,2842.0,479.0,56.0,0.0,4.0,20.0,18.0,7.0,2021-2022,Monchengladbach
18,2021-12-18,15:30,Matchweek 17,Sat,Away,D,1,1,Hoffenheim,1.3,2.1,40.0,750.0,Lars Stindl,4-2-3-1,Sven Jablonski,11.0,5.0,16.8,0.0,0.0,0.0,7.0,6.0,0.0,0.0,319.0,407.0,5754.0,2322.0,362.0,43.0,0.0,1.0,8.0,15.0,3.0,2021-2022,Monchengladbach
19,2022-01-07,20:30,Matchweek 18,Fri,Away,W,2,1,Bayern Munich,1.0,1.9,38.0,,Lars Stindl,3-1-4-2,Daniel Siebert,10.0,4.0,13.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,314.0,448.0,5306.0,2153.0,393.0,54.0,0.0,1.0,11.0,18.0,6.0,2021-2022,Monchengladbach
20,2022-01-15,18:30,Matchweek 19,Sat,Home,L,1,2,Leverkusen,1.2,5.3,54.0,750.0,Lars Stindl,3-4-3,Sascha Stegemann,17.0,6.0,18.7,2.0,0.0,0.0,14.0,10.0,0.0,2.0,393.0,498.0,6634.0,2591.0,450.0,47.0,0.0,3.0,18.0,14.0,5.0,2021-2022,Monchengladbach
22,2022-01-22,15:30,Matchweek 20,Sat,Home,L,1,2,Union Berlin,1.5,1.1,59.0,750.0,Yann Sommer,3-4-3,Felix Brych,11.0,5.0,20.3,1.0,0.0,0.0,3.0,1.0,1.0,0.0,537.0,651.0,9375.0,3339.0,601.0,50.0,1.0,2.0,11.0,19.0,4.0,2021-2022,Monchengladbach
23,2022-02-05,15:30,Matchweek 21,Sat,Away,D,1,1,Arminia,2.0,0.5,61.0,10000.0,Yann Sommer,3-4-3,Benjamin Cortus,21.0,4.0,16.6,1.0,0.0,0.0,5.0,4.0,0.0,0.0,440.0,565.0,7826.0,2950.0,503.0,60.0,4.0,6.0,23.0,26.0,11.0,2021-2022,Monchengladbach
24,2022-02-12,15:30,Matchweek 22,Sat,Home,W,3,2,Augsburg,2.4,1.6,57.0,10000.0,Yann Sommer,3-4-3,Tobias Welz,14.0,5.0,13.9,0.0,0.0,0.0,6.0,4.0,0.0,0.0,483.0,604.0,8286.0,3119.0,549.0,52.0,3.0,7.0,11.0,27.0,3.0,2021-2022,Monchengladbach
25,2022-02-20,17:30,Matchweek 23,Sun,Away,L,0,6,Dortmund,0.9,3.8,50.0,10000.0,Yann Sommer,3-4-3,Marco Fritz,8.0,4.0,15.6,0.0,0.0,0.0,10.0,4.0,1.0,0.0,413.0,519.0,7380.0,2885.0,463.0,52.0,1.0,2.0,12.0,18.0,5.0,2021-2022,Monchengladbach
26,2022-02-26,15:30,Matchweek 24,Sat,Home,D,2,2,Wolfsburg,2.4,1.4,66.0,10000.0,Yann Sommer,3-4-3,Tobias Reichel,26.0,10.0,14.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,531.0,642.0,8729.0,3374.0,587.0,55.0,2.0,0.0,28.0,22.0,7.0,2021-2022,Monchengladbach
27,2022-03-05,18:30,Matchweek 25,Sat,Away,L,2,3,Stuttgart,0.9,2.4,43.0,25000.0,Yann Sommer,4-3-3,Christian Dingert,8.0,3.0,13.6,0.0,0.0,0.0,7.0,4.0,0.0,0.0,346.0,450.0,5625.0,2045.0,407.0,42.0,4.0,0.0,7.0,16.0,2.0,2021-2022,Monchengladbach
28,2022-03-12,18:30,Matchweek 26,Sat,Home,W,2,0,Hertha BSC,1.8,0.6,53.0,30675.0,Yann Sommer,3-4-3,Florian Badstübner,12.0,4.0,15.1,0.0,1.0,1.0,3.0,3.0,0.0,0.0,401.0,498.0,6213.0,2434.0,450.0,44.0,2.0,3.0,13.0,16.0,3.0,2021-2022,Monchengladbach
29,2022-03-18,20:30,Matchweek 27,Fri,Away,W,2,0,Bochum,,,49.0,,Yann Sommer,3-4-3,Benjamin Cortus,8.0,5.0,,,0.0,0.0,7.0,7.0,0.0,0.0,,,,,,,,,8.0,,,2021-2022,Monchengladbach
30,2022-04-03,17:30,Matchweek 28,Sun,Home,D,1,1,Mainz 05,1.5,1.8,52.0,44156.0,Lars Stindl,3-4-3,Daniel Schlager,16.0,7.0,21.6,1.0,0.0,0.0,10.0,9.0,0.0,0.0,439.0,567.0,7807.0,2849.0,521.0,41.0,5.0,2.0,12.0,10.0,3.0,2021-2022,Monchengladbach
31,2022-04-09,15:30,Matchweek 29,Sat,Away,W,2,0,Greuther Fürth,2.7,0.5,50.0,13900.0,Yann Sommer,3-4-3,Tobias Stieler,16.0,5.0,17.6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,422.0,530.0,6957.0,2773.0,472.0,56.0,4.0,3.0,13.0,24.0,5.0,2021-2022,Monchengladbach
32,2022-04-16,18:30,Matchweek 30,Sat,Home,L,1,3,Köln,1.2,2.0,58.0,54042.0,Yann Sommer,3-4-3,Deniz Aytekin,17.0,5.0,14.5,0.0,0.0,0.0,6.0,3.0,0.0,0.0,429.0,538.0,7371.0,2885.0,461.0,76.0,2.0,7.0,11.0,35.0,5.0,2021-2022,Monchengladbach
33,2022-04-23,15:30,Matchweek 31,Sat,Away,D,3,3,Freiburg,1.6,2.3,38.0,34700.0,Yann Sommer,5-3-2,Benjamin Brand,6.0,3.0,18.6,0.0,1.0,1.0,6.0,3.0,1.0,0.0,266.0,350.0,4719.0,1871.0,303.0,45.0,1.0,4.0,3.0,17.0,0.0,2021-2022,Monchengladbach
34,2022-05-02,20:30,Matchweek 32,Mon,Home,W,3,1,RB Leipzig,1.5,1.1,49.0,35324.0,Lars Stindl,5-3-2,Martin Petersen,9.0,6.0,18.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,462.0,544.0,7362.0,2626.0,496.0,48.0,2.0,1.0,5.0,13.0,3.0,2021-2022,Monchengladbach
35,2022-05-08,15:30,Matchweek 33,Sun,Away,D,1,1,Eint Frankfurt,1.4,0.8,53.0,51500.0,Lars Stindl,3-4-3,Felix Zwayer,12.0,6.0,18.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,502.0,591.0,9089.0,2950.0,559.0,32.0,4.0,1.0,11.0,16.0,1.0,2021-2022,Monchengladbach
36,2022-05-14,15:30,Matchweek 34,Sat,Home,W,5,1,Hoffenheim,3.2,1.6,55.0,50395.0,Lars Stindl,4-2-3-1,Harm Osmers,17.0,8.0,15.1,0.0,1.0,1.0,2.0,1.0,0.0,0.0,511.0,600.0,8238.0,3043.0,556.0,42.0,5.0,0.0,12.0,14.0,6.0,2021-2022,Monchengladbach
1,2021-08-14,18:30,Matchweek 1,Sat,Away,L,2,5,Dortmund,1.3,2.7,40.0,25000.0,Makoto Hasebe,3-4-3,Tobias Stieler,10.0,3.0,11.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,318.0,424.0,6024.0,2295.0,380.0,43.0,2.0,3.0,19.0,20.0,3.0,2021-2022,Eintracht Frankfurt
2,2021-08-21,15:30,Matchweek 2,Sat,Home,D,0,0,Augsburg,1.6,0.3,61.0,22000.0,Martin Hinteregger,4-2-3-1,Harm Osmers,21.0,5.0,18.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,558.0,7687.0,3110.0,501.0,56.0,1.0,2.0,24.0,31.0,6.0,2021-2022,Eintracht Frankfurt
3,2021-08-28,15:30,Matchweek 3,Sat,Away,D,1,1,Arminia,1.5,0.6,65.0,13750.0,Martin Hinteregger,4-2-3-1,Bastian Dankert,11.0,3.0,14.9,0.0,0.0,0.0,4.0,3.0,0.0,0.0,544.0,666.0,10263.0,3564.0,615.0,49.0,2.0,4.0,19.0,23.0,4.0,2021-2022,Eintracht Frankfurt
4,2021-09-12,15:30,Matchweek 4,Sun,Home,D,1,1,Stuttgart,1.1,0.9,58.0,25000.0,Martin Hinteregger,4-2-3-1,Matthias Jöllenbeck,17.0,4.0,21.3,1.0,0.0,0.0,3.0,2.0,0.0,0.0,409.0,544.0,7330.0,2665.0,486.0,56.0,0.0,4.0,35.0,34.0,6.0,2021-2022,Eintracht Frankfurt
6,2021-09-19,19:30,Matchweek 5,Sun,Away,D,1,1,Wolfsburg,0.3,1.2,40.0,9266.0,Martin Hinteregger,4-2-3-1,Felix Zwayer,5.0,2.0,24.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,233.0,366.0,4395.0,2077.0,315.0,51.0,0.0,3.0,17.0,19.0,4.0,2021-2022,Eintracht Frankfurt
7,2021-09-25,15:30,Matchweek 6,Sat,Home,D,1,1,Köln,0.9,0.9,46.0,24000.0,Martin Hinteregger,4-2-3-1,Martin Petersen,10.0,3.0,16.6,0.0,0.0,0.0,2.0,1.0,0.0,0.0,229.0,386.0,4303.0,2104.0,314.0,69.0,2.0,5.0,34.0,27.0,7.0,2021-2022,Eintracht Frankfurt
9,2021-10-03,17:30,Matchweek 7,Sun,Away,W,2,1,Bayern Munich,0.8,2.2,28.0,25000.0,Martin Hinteregger,3-4-3,Florian Badstübner,5.0,3.0,26.5,0.0,0.0,0.0,10.0,9.0,0.0,0.0,194.0,317.0,3566.0,1885.0,270.0,47.0,3.0,1.0,4.0,14.0,1.0,2021-2022,Eintracht Frankfurt
10,2021-10-16,15:30,Matchweek 8,Sat,Home,L,1,2,Hertha BSC,1.6,1.8,58.0,32000.0,Makoto Hasebe,3-4-1-2,Deniz Aytekin,12.0,4.0,20.3,1.0,1.0,1.0,6.0,4.0,0.0,0.0,408.0,540.0,7506.0,2844.0,480.0,60.0,2.0,3.0,27.0,24.0,7.0,2021-2022,Eintracht Frankfurt
12,2021-10-24,19:30,Matchweek 9,Sun,Away,L,0,2,Bochum,1.6,2.1,59.0,19510.0,Makoto Hasebe,3-4-1-2,Marco Fritz,15.0,5.0,18.7,1.0,0.0,1.0,7.0,5.0,0.0,0.0,411.0,542.0,6714.0,3140.0,478.0,64.0,0.0,0.0,16.0,34.0,7.0,2021-2022,Eintracht Frankfurt
13,2021-10-30,18:30,Matchweek 10,Sat,Home,D,1,1,RB Leipzig,0.6,3.0,47.0,31000.0,Kevin Trapp,3-4-3,Daniel Schlager,11.0,3.0,21.3,0.0,0.0,0.0,6.0,5.0,0.0,0.0,354.0,499.0,6549.0,2744.0,444.0,52.0,1.0,3.0,11.0,24.0,5.0,2021-2022,Eintracht Frankfurt
15,2021-11-07,19:30,Matchweek 11,Sun,Away,W,2,1,Greuther Fürth,1.2,2.4,46.0,10244.0,Martin Hinteregger,3-4-3,Daniel Siebert,16.0,4.0,20.6,1.0,0.0,0.0,2.0,1.0,0.0,0.0,288.0,422.0,5201.0,2017.0,368.0,52.0,1.0,2.0,12.0,26.0,3.0,2021-2022,Eintracht Frankfurt
